"productId","date","price"
"PID1",2022-01-01,290.98729581945
"PID1",2022-01-02,290.98729581945
"PID1",2022-01-03,290.98729581945
"PID1",2022-01-04,290.98729581945
"PID1",2022-01-05,290.98729581945
"PID1",2022-01-06,290.98729581945
"PID1",2022-01-07,290.98729581945
"PID1",2022-01-08,290.98729581945
"PID1",2022-01-09,290.98729581945
"PID1",2022-01-10,290.98729581945
"PID1",2022-01-11,290.98729581945
"PID1",2022-01-12,290.98729581945
"PID1",2022-01-13,290.98729581945
"PID1",2022-01-14,290.98729581945
"PID1",2022-01-15,290.98729581945
"PID1",2022-01-16,290.98729581945
"PID1",2022-01-17,290.98729581945
"PID1",2022-01-18,290.98729581945
"PID1",2022-01-19,290.98729581945
"PID1",2022-01-20,290.98729581945
"PID1",2022-01-21,290.98729581945
"PID1",2022-01-22,290.98729581945
"PID1",2022-01-23,290.98729581945
"PID1",2022-01-24,290.98729581945
"PID1",2022-01-25,290.98729581945
"PID1",2022-01-26,290.98729581945
"PID1",2022-01-27,290.98729581945
"PID1",2022-01-28,290.98729581945
"PID1",2022-01-29,290.98729581945
"PID1",2022-01-30,290.98729581945
"PID1",2022-01-31,290.98729581945
"PID1",2022-02-01,290.98729581945
"PID1",2022-02-02,290.98729581945
"PID1",2022-02-03,290.98729581945
"PID1",2022-02-04,290.98729581945
"PID1",2022-02-05,290.98729581945
"PID1",2022-02-06,290.98729581945
"PID1",2022-02-07,290.98729581945
"PID1",2022-02-08,290.98729581945
"PID1",2022-02-09,290.98729581945
"PID1",2022-02-10,290.98729581945
"PID1",2022-02-11,290.98729581945
"PID1",2022-02-12,290.98729581945
"PID1",2022-02-13,290.98729581945
"PID1",2022-02-14,290.98729581945
"PID1",2022-02-15,290.98729581945
"PID1",2022-02-16,290.98729581945
"PID1",2022-02-17,290.98729581945
"PID1",2022-02-18,290.98729581945
"PID1",2022-02-19,290.98729581945
"PID1",2022-02-20,290.98729581945
"PID1",2022-02-21,290.98729581945
"PID1",2022-02-22,290.98729581945
"PID1",2022-02-23,290.98729581945
"PID1",2022-02-24,290.98729581945
"PID1",2022-02-25,290.98729581945
"PID1",2022-02-26,290.98729581945
"PID1",2022-02-27,290.98729581945
"PID1",2022-02-28,290.98729581945
"PID1",2022-03-01,290.98729581945
"PID1",2022-03-02,290.98729581945
"PID1",2022-03-03,290.98729581945
"PID1",2022-03-04,290.98729581945
"PID1",2022-03-05,290.98729581945
"PID1",2022-03-06,290.98729581945
"PID1",2022-03-07,290.98729581945
"PID1",2022-03-08,290.98729581945
"PID1",2022-03-09,290.98729581945
"PID1",2022-03-10,290.98729581945
"PID1",2022-03-11,290.98729581945
"PID1",2022-03-12,290.98729581945
"PID1",2022-03-13,290.98729581945
"PID1",2022-03-14,290.98729581945
"PID1",2022-03-15,290.98729581945
"PID1",2022-03-16,290.98729581945
"PID1",2022-03-17,290.98729581945
"PID1",2022-03-18,290.98729581945
"PID1",2022-03-19,290.98729581945
"PID1",2022-03-20,290.98729581945
"PID1",2022-03-21,290.98729581945
"PID1",2022-03-22,290.98729581945
"PID1",2022-03-23,290.98729581945
"PID1",2022-03-24,290.98729581945
"PID1",2022-03-25,290.98729581945
"PID1",2022-03-26,290.98729581945
"PID1",2022-03-27,290.98729581945
"PID1",2022-03-28,290.98729581945
