"date","customerId","rating","productId"
2022-01-01,"CID94",5,"PID1"
2022-01-01,"CID6",3,"PID1"
2022-01-01,"CID72",4,"PID1"
2022-01-01,"CID86",5,"PID1"
2022-01-01,"CID97",5,"PID1"
2022-01-01,"CID39",3,"PID1"
2022-01-01,"CID31",5,"PID1"
2022-01-01,"CID81",5,"PID1"
2022-01-01,"CID50",5,"PID1"
2022-01-01,"CID34",5,"PID1"
2022-01-01,"CID4",5,"PID1"
2022-01-01,"CID13",5,"PID1"
2022-01-01,"CID69",5,"PID1"
2022-01-01,"CID25",3,"PID1"
2022-01-01,"CID52",5,"PID1"
2022-01-01,"CID22",5,"PID1"
2022-01-01,"CID32",5,"PID1"
2022-01-01,"CID87",5,"PID1"
2022-01-01,"CID35",5,"PID1"
2022-01-01,"CID40",4,"PID1"
2022-01-01,"CID30",5,"PID1"
2022-01-02,"CID98",5,"PID1"
2022-01-02,"CID74",5,"PID1"
2022-01-02,"CID86",5,"PID1"
2022-01-02,"CID76",4,"PID1"
2022-01-02,"CID84",4,"PID1"
2022-01-02,"CID46",5,"PID1"
2022-01-02,"CID17",5,"PID1"
2022-01-02,"CID62",5,"PID1"
2022-01-02,"CID95",5,"PID1"
2022-01-02,"CID54",4,"PID1"
2022-01-02,"CID35",5,"PID1"
2022-01-02,"CID79",4,"PID1"
2022-01-02,"CID24",5,"PID1"
2022-01-02,"CID87",4,"PID1"
2022-01-02,"CID7",5,"PID1"
2022-01-02,"CID89",5,"PID1"
2022-01-02,"CID23",5,"PID1"
2022-01-02,"CID26",5,"PID1"
2022-01-02,"CID32",5,"PID1"
2022-01-02,"CID100",4,"PID1"
2022-01-02,"CID27",4,"PID1"
2022-01-02,"CID42",5,"PID1"
2022-01-03,"CID39",5,"PID1"
2022-01-03,"CID68",4,"PID1"
2022-01-03,"CID1",4,"PID1"
2022-01-03,"CID40",5,"PID1"
2022-01-03,"CID30",3,"PID1"
2022-01-03,"CID94",4,"PID1"
2022-01-03,"CID89",5,"PID1"
2022-01-03,"CID16",5,"PID1"
2022-01-03,"CID88",5,"PID1"
2022-01-03,"CID54",5,"PID1"
2022-01-03,"CID75",5,"PID1"
2022-01-03,"CID48",5,"PID1"
2022-01-03,"CID20",4,"PID1"
2022-01-03,"CID67",5,"PID1"
2022-01-03,"CID36",5,"PID1"
2022-01-03,"CID52",5,"PID1"
2022-01-03,"CID22",5,"PID1"
2022-01-04,"CID36",4,"PID1"
2022-01-04,"CID45",4,"PID1"
2022-01-04,"CID14",5,"PID1"
2022-01-04,"CID16",3,"PID1"
