"date","productId","customerId","purchased","deliveryTime"
2023-01-01,"PID1","CID31",0,3.58222222222222
2023-01-01,"PID1","CID18",1,3.58222222222222
2023-01-01,"PID1","CID93",0,3.58222222222222
2023-01-01,"PID1","CID62",0,3.58222222222222
2023-01-01,"PID1","CID61",0,3.58222222222222
2023-01-01,"PID1","CID33",1,3.58222222222222
2023-01-01,"PID1","CID74",0,3.58222222222222
2023-01-01,"PID1","CID54",0,3.58222222222222
2023-01-01,"PID1","CID9",1,3.58222222222222
2023-01-01,"PID1","CID49",0,3.58222222222222
2023-01-01,"PID1","CID52",0,3.58222222222222
2023-01-01,"PID1","CID40",0,3.58222222222222
2023-01-01,"PID1","CID6",0,3.58222222222222
2023-01-01,"PID1","CID72",0,3.58222222222222
2023-01-01,"PID1","CID50",1,3.58222222222222
2023-01-01,"PID1","CID2",1,3.58222222222222
2023-01-01,"PID1","CID90",0,3.58222222222222
2023-01-01,"PID1","CID89",1,3.58222222222222
2023-01-01,"PID1","CID29",1,3.58222222222222
2023-01-01,"PID1","CID19",0,3.58222222222222
2023-01-01,"PID1","CID11",0,3.58222222222222
2023-01-01,"PID1","CID69",0,3.58222222222222
2023-01-01,"PID10","CID100",0,3.53277777777778
2023-01-01,"PID10","CID89",0,3.53277777777778
2023-01-01,"PID10","CID7",0,3.53277777777778
2023-01-01,"PID10","CID96",0,3.53277777777778
2023-01-01,"PID10","CID93",0,3.53277777777778
2023-01-01,"PID10","CID46",0,3.53277777777778
2023-01-01,"PID10","CID58",0,3.53277777777778
2023-01-01,"PID10","CID3",0,3.53277777777778
2023-01-01,"PID10","CID14",0,3.53277777777778
2023-01-01,"PID10","CID13",0,3.53277777777778
2023-01-01,"PID10","CID36",1,3.53277777777778
2023-01-01,"PID2","CID12",1,3.60361111111111
2023-01-01,"PID2","CID82",1,3.60361111111111
2023-01-01,"PID2","CID20",0,3.60361111111111
2023-01-01,"PID2","CID49",0,3.60361111111111
2023-01-01,"PID2","CID43",0,3.60361111111111
2023-01-01,"PID2","CID30",0,3.60361111111111
2023-01-01,"PID2","CID21",0,3.60361111111111
2023-01-01,"PID2","CID56",1,3.60361111111111
2023-01-01,"PID2","CID99",0,3.60361111111111
2023-01-01,"PID2","CID91",0,3.60361111111111
2023-01-01,"PID2","CID72",0,3.60361111111111
2023-01-01,"PID2","CID89",0,3.60361111111111
2023-01-01,"PID2","CID88",0,3.60361111111111
2023-01-01,"PID2","CID74",1,3.60361111111111
2023-01-01,"PID2","CID15",1,3.60361111111111
2023-01-01,"PID2","CID2",0,3.60361111111111
2023-01-01,"PID2","CID46",1,3.60361111111111
2023-01-01,"PID2","CID94",0,3.60361111111111
2023-01-01,"PID2","CID5",0,3.60361111111111
2023-01-01,"PID2","CID67",1,3.60361111111111
2023-01-01,"PID2","CID79",0,3.60361111111111
2023-01-01,"PID3","CID71",1,3.71277777777778
2023-01-01,"PID3","CID68",1,3.71277777777778
2023-01-01,"PID3","CID57",0,3.71277777777778
2023-01-01,"PID3","CID98",1,3.71277777777778
2023-01-01,"PID3","CID25",1,3.71277777777778
2023-01-01,"PID3","CID93",1,3.71277777777778
2023-01-01,"PID3","CID20",0,3.71277777777778
2023-01-01,"PID3","CID47",1,3.71277777777778
2023-01-01,"PID3","CID80",0,3.71277777777778
2023-01-01,"PID3","CID83",1,3.71277777777778
2023-01-01,"PID3","CID82",1,3.71277777777778
2023-01-01,"PID3","CID6",0,3.71277777777778
2023-01-01,"PID3","CID7",0,3.71277777777778
2023-01-01,"PID3","CID88",0,3.71277777777778
2023-01-01,"PID3","CID86",1,3.71277777777778
2023-01-01,"PID3","CID50",0,3.71277777777778
2023-01-01,"PID3","CID90",0,3.71277777777778
2023-01-01,"PID3","CID55",0,3.71277777777778
2023-01-01,"PID3","CID99",0,3.71277777777778
2023-01-01,"PID3","CID13",0,3.71277777777778
2023-01-01,"PID3","CID40",0,3.71277777777778
2023-01-01,"PID3","CID16",1,3.71277777777778
2023-01-01,"PID3","CID87",0,3.71277777777778
2023-01-01,"PID3","CID58",0,3.71277777777778
2023-01-01,"PID3","CID1",0,3.71277777777778
